Name, Surname, BirthYear, BirthMonth, Nationality, WorldCup, ChampionsLeague, BallonDor, EuropeanWinner, Teams,
Lionel, Messi, 1987, 06, Argentina, 1, 1, 1, 0, Barcelona PSG ,
Bruno, Costa, 2002, 09, Portugal, 0, 0, 0, 0, Agucadoura,
Vincent, Aboubakar, 1990, 10, Cameroon, 0, 0, 0, 0, Porto ,
Cristiano, Ronaldo, 1985, 02, Portugal, 0, 1, 1, 1, Manchester_United Real_Madrid Sporting Juventus ,
Sergio, Ramos, 1986, 03, Spain, 1, 1, 0, 1, Real_Madrid PSG,
Kylian, Mbappe, 1998, 12, France, 1, 0, 0, 0, PSG,
Neymar, null, 1992, 02, Brazil, 0, 1, 0, 0, Barcelona PSG,
De, Bruyne, 1991, 06, Belgium, 0, 1, 0, 0, Chelsea Manchester_City,
Erling, Haaland, 2000, 07, Norway, 0, 1, 0, 0, Dortmund Manchester_City,
Manuel, Neuer, 1986, 03, Germany, 1, 1, 0, 0, Bayern,
Andres, Iniesta, 1984, 05, Spain, 1, 1, 0, 1, Barcelona,
Luka, Modric, 1985, 09, Croatia, 0, 1, 1, 0, Tottenham Real_Madrid,
Robert, Lewandowski, 1988, 08, Poland, 0, 1, 0, 0, Dortmund Bayern Barcelona,
Zlatan, Ibrahimovic, 1981, 10, Sweden, 0, 0, 0, 0, Juventus Inter Barcelona AC_Milan PSG Manchester_United,
Gianluigi, Buffon, 1978, 01, Italy, 1, 0, 0, 0, Juventus PSG,
Ronaldinho, Gaucho, 1980, 03, Brazil, 1, 1, 1, 0, PSG Barcelona AC_Milan,
Xavi, Hernandez, 1980, 01, Spain, 1, 1, 0, 1, Barcelona,
Zinedine, Zidane, 1972, 06, France, 1, 1, 1, 1, Juventus Real_Madrid,
Ricardo, Kaka, 1982, 04, Brazil, 1, 1, 1, 0, AC_Milan Real_Madrid,
Thierry, Henry, 1977, 08, France, 1, 1, 0, 1, Juventus Arsenal Barcelona,
Mohammed, Salah, 1982, 06, Egypt, 0, 1, 0, 0, Chelsea Liverpool,
Ronaldo, null, 1976, 09, Brazil, 1, 0, 1, 0, Barcelona Inter Real_Madrid AC_Milan,
Karim, Benzema, 1987, 12, France, 0, 1, 1, 0, Real_Madrid,
Steven, Gerrard, 1980, 05, England, 0, 1, 0, 0, Liverpool,
Frank, Lampard, 1978, 06, England, 0, 1, 0, 0, Chelsea Manchester_City,
David, Beckham, 1975, 05, England, 0, 1, 0, 0, Manchester_United Real_Madrid AC_Milan PSG,
Wayne, Rooney, 1985, 10, England, 0, 1, 0, 0, Manchester_United,
Luis, Suarez, 1987, 01, Uruguay, 0, 1, 0, 0, Liverpool Barcelona Atletico_Madrid,
Antoine, Griezmann, 1991, 03, France, 1, 0, 0, 0, Atletico_Madrid Barcelona,
Fabio, Cannavaro, 1973, 09, Italy, 1, 0, 1, 0, Inter Real_Madrid Juventus,
Paolo, Maldini, 1968, 06, Italy, 0, 1, 0, 0, AC_Milan,
Van, Dijk, 1991, 07, Netherlands, 0, 1, 0, 0, Liverpool,
Dani, Alves, 1983, 05, Brazil, 0, 1, 0, 0, Barcelona Juventus PSG,
Eden, Hazard, 1991, 01, Belgium, 0, 1, 0, 0, Chelsea Real_Madrid,
Arturo, Vidal, 1987, 05, Chile, 0, 0, 0, 0, Juventus Bayern Barcelona,
Arjen, Robben, 1984, 01, Netherlands, 0, 1, 0, 0, Chelsea Real_Madrid Bayern,
Frank, Ribery, 1983, 04, France, 0, 1, 0, 0, Bayern,
Thomas, Muller, 1989, 09, Germany, 1, 1, 0, 0, Bayern,
Gareth, Bale, 1989, 07, Wales, 0, 1, 0, 0, Tottenham Real_Madrid,
Sergio, Aguero, 1988, 06, Argentina, 0, 0, 0, 0, Atletico_Madrid Manchester_City Barcelona,
Di, Maria, 1988, 02, Argentina, 1, 1, 0, 0, Benfica Real_Madrid Manchester_United PSG Juventus,
Toni, Kroos, 1990, 01, Germany, 1, 1, 0, 0, Bayern Real_Madrid,
Pepe, null, 1983, 02, Portugal, 0, 1, 0, 1, Porto Real_Madrid,
Iker, Casillas, 1981, 05, Spain, 1, 1, 0, 1, Real_Madrid Porto,
Xabi, Alonso, 1981, 11, Spain, 1, 1, 0, 1, Liverpool Real_Madrid Bayern,
Cesc, Fabregas, 1987, 05, Spain, 1, 0, 0, 1, Arsenal Barcelona Chelsea,
Carles, Puyol, 1978, 04, Spain, 1, 1, 0, 1, Barcelona,
Samuel, Eto'o, 1981, 03, Cameroon, 0, 1, 0, 0, Real_Madrid Barcelona Inter Chelsea,
Andriy, Shevchenko, 1976, 09, Ukraine, 0, 1, 1, 0, AC_Milan Chelsea,
Clarence, Seedorf, 1976, 04, Netherlands, 0, 1, 0, 0, Inter Real_Madrid AC_Milan,
Van, Persie, 1983, 08, Netherlands, 0, 0, 0, 0, Arsenal Manchester_United,
Dennis, Bergkamp, 1969, 05, Netherlands, 0, 0, 0, 0, Inter Arsenal,
Jude, Bellingham, 2003, 06, England, 0, 0, 0, 0, Dortmund Real_Madrid,
Vinicius, Jr, 2000, 07, Brazil, 0, 1, 0, 0, Real_Madrid,
