Lionel Messi
Bruno Costa
Vincent Aboubakar
Cristiano Ronaldo
Sergio Ramos
Kylian Mbappe
Neymar
De Bruyne
Erling Haaland
Manuel Neuer
Andres Iniesta
Luka Modric
Robert Lewandowski
Zlatan Ibrahimovic
Gianluigi Buffon
Ronaldinho Gaucho
Xavi Hernandez
Zinedine Zidane
Ricardo Kaka
Thierry Henry
Mohammed Salah
Ronaldo
Karim Benzema
Steven Gerrard
Frank Lampard
David Beckham
Wayne Rooney
Luis Suarez
Antoine Griezmann
Fabio Cannavaro
Paolo Maldini
Van Dijk
Dani Alves
Eden Hazard
Arturo Vidal
Arjen Robben
Frank Ribery
Thomas Muller
Gareth Bale
Sergio Aguero
Di Maria
Toni Kroos
Pepe
Iker Casillas
Xabi Alonso
Cesc Fabregas
Carles Puyol
Samuel Eto'o
Andriy Shevchenko
Clarence Seedorf
Van Persie
Dennis Bergkamp
Jude Bellingham
Vinicius Jr
Pedri
Jamal Musiala
Luis Figo
Javier Zanetti
Petr Cech
Peter Schmeichel
Roberto Carlos
Hristo Stoichkov
Sergio Busquets
Phillip Lahm
Frank Rijkaard
Eric Cantona
Cafu
Ronald Koeman
Rivaldo
Romario
Lothar Matthaus
Diego Maradona
Michel Platini
Ruud Gullit
Van Basten
Roberto Baggio
Eusebio
Franz Beckenbauer
Johan Cruyff
Ter Stegen
Bernardo Silva
Ruben Dias
Joao Cancelo
Joao Felix
Ilkay Gundogan
Fede Valverde
Casemiro
Raphael Varane
Gianluigi Donnarumma
Nicolo Barella
Lautaro Martinez
Enzo Fernandez
Darwin Nunez
Julio Cesar
Thibaut Courtois
Antonio Rudiger
Eder Militao
Rodrygo Goes
Eduardo Camavinga
Ronald Araujo
Gavi
Joshua Kimmich
Leon Goretzka
Serge Gnabry
Leroy Sane
Sadio Mane
Roberto Firmino
Phillipe Coutinho
Romelu Lukaku
Alisson Becker
Ederson Moraes
Jan Oblak
De Gea
Marcelo
Raul Gonzalez
Del Piero
Alessandro Nesta
Oliver Kahn
Michael Owen
Michael Ballack
Van Nistelrooy
Rio Ferdinand
Roy Keane
Paul Scholes
Ryan Giggs
Edgar Davids
Pavel Nedved
Sol Campbell
Adriano
David Trezeguet
John Terry
Fernando Torres
David Villa
David Silva
Diego Forlan
Didier Drogba
Gerard Pique
Wesley Sneijder
Radamel Falcao
James Rodriguez
Bastian Schweinsteiger
Thiago Silva
Jerome Boateng
Gonzalo Higuain
Carlos Tevez
Paulo Dybala
Ngolo Kante
Marquinhos
Mike Maignan
Marco Verratti
Fabinho
Rodri
Kingsley Coman
Theo Hernandez
Raheem Sterling
Paul Pogba
De Ligt
De Jong
Kyle Walker
Phil Foden
Bukayo Saka
Marco Reus
Memphis Depay
Diogo Jota
Kai Havertz
Rafael Leao
Fikayo Tomori
Martin Odegaard
Ousmane Dembele
Alexander Arnold
Jules Kounde
Andrea Bastoni
Declan Rice
Marcus Rashford
Andre Onana
Aymeric Laporte
Jack Grealish
Julian Alvarez
John Stones
David Alaba
Franck Kessie
Rui Costa
Maxi Pereira
Gonçalo Ramos
Axel Witsel
David Luiz
Gedson Fernandes
Nicolas Otamendi
Deco
Mario Jardel
Vitinha
Fábio Vieira
Pedro Mendes
Ricardo Quaresma
Alex Sandro
Diogo Dalot
Joao Mario
Gelson Martins
Nuno Mendes
Sebastian Coates
Cédric Soares
Mesut Ozil
Robinho
Lucas Hernandez
Thomas Partey
Toby Alderweireld
Alvaro Morata
Nicolas Anelka
Lucas Moura
Harry Kane
Van Bommel
Pierre Aubameyang
Emre Can
Jadon Sancho
Henrikh Mkhitaryan
Patrick Vieira
William Gallas
Peter Crouch
Dimitar Berbatov
Ivan Perisic
Leonardo Bonucci
Federico Chiesa
Jorginho
Mario Mandzukic
Hakan Calhanoglu
Giorgio Chiellini
Raphael Guerreiro
Felipe
Juan Cuadrado
Oxlade Chamberlain
Mason Mount
Ole Solskjaer
Hugo Lloris
